date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:59:31	124083/124083	---MCZ	200	added ('OK')	text/html	date:Fri,%2026%20Nov%202021%2010:03:33%20GMT	https://demos.creative-tim.com/argon-dashboard-pro/pages/dashboards/default.html	C:/My%20Web%20Sites/Admin%20Panel%20Theam/demos.creative-tim.com/argon-dashboard-pro/pages/dashboards/default.html	(from )
14:59:32	2170/2170	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2007%20Feb%202022%2009:29:31%20GMT	https://demos.creative-tim.com/robots.txt		(from )
14:59:32	809/809	---M--	200	added ('OK')	image/png	etag:%2261a0b0f5-329%22	https://demos.creative-tim.com/argon-dashboard-pro/assets/img/apple-icon.png	C:/My%20Web%20Sites/Admin%20Panel%20Theam/demos.creative-tim.com/argon-dashboard-pro/assets/img/apple-icon.png	(from https://demos.creative-tim.com/argon-dashboard-pro/pages/dashboards/default.html)
14:59:33	809/809	---M--	200	added ('OK')	image/png	etag:%2261a0b0f5-329%22	https://demos.creative-tim.com/argon-dashboard-pro/assets/img/favicon.png	C:/My%20Web%20Sites/Admin%20Panel%20Theam/demos.creative-tim.com/argon-dashboard-pro/assets/img/favicon.png	(from https://demos.creative-tim.com/argon-dashboard-pro/pages/dashboards/default.html)
14:59:35	49283/49283	---MCZ	200	added ('OK')	text/html	date:Fri,%2026%20Nov%202021%2010:03:33%20GMT	https://demos.creative-tim.com/argon-dashboard-pro/pages/dashboards/landing	C:/My%20Web%20Sites/Admin%20Panel%20Theam/demos.creative-tim.com/argon-dashboard-pro/pages/dashboards/landing.html	(from https://demos.creative-tim.com/argon-dashboard-pro/pages/dashboards/default.html)
14:59:35	9015/9015	---M-Z	200	added ('OK')	text/css	etag:W/%2261a0b0f5-2337%22	https://demos.creative-tim.com/argon-dashboard-pro/assets/css/nucleo-icons.css	C:/My%20Web%20Sites/Admin%20Panel%20Theam/demos.creative-tim.com/argon-dashboard-pro/assets/css/nucleo-icons.css	(from https://demos.creative-tim.com/argon-dashboard-pro/pages/dashboards/default.html)
14:59:35	2253/2253	---M-Z	200	added ('OK')	text/css	etag:W/%2261a0b0f5-8cd%22	https://demos.creative-tim.com/argon-dashboard-pro/assets/css/nucleo-svg.css	C:/My%20Web%20Sites/Admin%20Panel%20Theam/demos.creative-tim.com/argon-dashboard-pro/assets/css/nucleo-svg.css	(from https://demos.creative-tim.com/argon-dashboard-pro/pages/dashboards/default.html)
14:59:36	11025/11025	---MCZ	200	added ('OK')	text/javascript	date:Mon,%2007%20Feb%202022%2009:29:35%20GMT	https://kit.fontawesome.com/42d5adcbca.js	C:/My%20Web%20Sites/Admin%20Panel%20Theam/kit.fontawesome.com/42d5adcbca.js	(from https://demos.creative-tim.com/argon-dashboard-pro/pages/dashboards/default.html)
14:59:37	472156/472156	---M-Z	200	added ('OK')	text/css	etag:W/%2261a0b0f5-7345c%22	https://demos.creative-tim.com/argon-dashboard-pro/assets/css/argon-dashboard.min.css?v=2.0.0	C:/My%20Web%20Sites/Admin%20Panel%20Theam/demos.creative-tim.com/argon-dashboard-pro/assets/css/argon-dashboard.min28b5.css	(from https://demos.creative-tim.com/argon-dashboard-pro/pages/dashboards/default.html)
14:59:37	50205/50205	---MC-	200	added ('OK')	text/javascript	date:Tue,%2002%20Nov%202021%2017:39:06%20GMT	https://www.google-analytics.com/analytics.js	C:/My%20Web%20Sites/Admin%20Panel%20Theam/www.google-analytics.com/analytics.js	(from https://demos.creative-tim.com/argon-dashboard-pro/pages/dashboards/default.html)
14:59:38	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Mon,%2007%20Feb%202022%2009:29:37%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/My%20Web%20Sites/Admin%20Panel%20Theam/www.googletagmanager.com/gtm.a5445.delayed	(from https://demos.creative-tim.com/argon-dashboard-pro/pages/dashboards/default.html)
14:59:39	6956/6956	---M--	200	added ('OK')	image/png	etag:%2261a0b0f5-1b2c%22	https://demos.creative-tim.com/argon-dashboard-pro/assets/img/logo-ct-dark.png	C:/My%20Web%20Sites/Admin%20Panel%20Theam/demos.creative-tim.com/argon-dashboard-pro/assets/img/logo-ct-dark.png	(from https://demos.creative-tim.com/argon-dashboard-pro/pages/dashboards/default.html)
14:59:39	49283/49283	---MCZ	200	added ('OK')	text/html	date:Fri,%2026%20Nov%202021%2010:03:33%20GMT	https://demos.creative-tim.com/argon-dashboard-pro/pages/dashboards/landing.html	C:/My%20Web%20Sites/Admin%20Panel%20Theam/demos.creative-tim.com/argon-dashboard-pro/pages/dashboards/landing-2.html	(from https://demos.creative-tim.com/argon-dashboard-pro/pages/dashboards/default.html)
14:59:40	74509/74509	---MCZ	200	added ('OK')	text/html	date:Fri,%2026%20Nov%202021%2010:03:33%20GMT	https://demos.creative-tim.com/argon-dashboard-pro/pages/dashboards/automotive.html	C:/My%20Web%20Sites/Admin%20Panel%20Theam/demos.creative-tim.com/argon-dashboard-pro/pages/dashboards/automotive.html	(from https://demos.creative-tim.com/argon-dashboard-pro/pages/dashboards/default.html)
